objectid,ward,st_area(shape),st_perimeter(shape),population_2011
1,169,3767853.2420655666,11488.994456727227,44214
2,004,2080903.004885259,6631.3819728349235,21184
110,062,833486.8266025279,3679.1772373629997,36871
111,063,963859.3806026942,6679.495555921726,35478
3,178,2702199.805034666,9227.910990274322,39952
4,015,8704598.135679381,15897.118136045889,12119
5,016,10025090.833130874,15861.654614170262,8974
6,172,8376088.209682553,13512.780169617668,48061
7,177,2780309.0420508147,8637.193538903583,43792
8,018,8073370.104110489,14248.643338589929,13621
9,176,1786223.75378006,7506.647192807113,44360
10,175,1436557.8125019742,6602.767753798454,48959
11,180,1820715.333407873,5919.091058779292,41210
12,198,6300400.037681095,12418.276000093982,20675
13,192,2553064.307006546,6485.46248167984,23187
14,185,945483.2508114831,5155.306103076273,25301
15,189,10198223.00999183,18008.74757169058,18551
16,190,3064474.0682148123,12740.854691613556,19027
17,066,1035112.4193994598,5925.456442827606,35551
18,171,3349903.75917531,8113.012771138037,37737
19,183,1540296.3459564308,5114.227650540436,21902
20,173,2735955.8442495274,9184.634635325194,40631
21,182,3279671.7812239514,12178.737334844363,21451
22,126,1040025.3134649098,5664.125941455161,43585
23,125,1238767.2341241958,5580.720901997869,42047
24,115,851967.7988807013,5127.448111535998,43927
25,116,679910.4072656677,3454.8237916859757,40519
26,114,1759302.7598935752,7188.158716080999,40795
27,124,1024965.8501932751,6182.252365897049,43622
28,179,1872656.0859582655,6230.754319631043,37765
29,123,2240045.3234278243,8749.582483227077,46542
30,200,7517039.191168026,11062.35594570129,26106
31,112,1060394.834819509,6710.95532590754,40803
32,122,1815592.9335305807,7415.731651950546,39330
33,121,924527.6226687612,6129.0938966402,40027
34,120,533650.6894990805,3620.9677551807486,38962
35,119,1386650.7588888821,7295.859624986189,38755
36,118,1907306.3777921558,9204.348878591923,35611
37,106,884665.6097911599,4826.232317459464,46112
38,012,420852.9715414888,4253.978306538346,21367
39,107,1247640.1188985913,5317.179023626749,46298
40,105,1312336.174649272,6924.867323473276,47338
41,104,2284091.255601277,8410.059006367372,40690
42,099,1298695.7098823518,7483.504247940205,42305
43,098,1436062.5404086758,6474.407222993347,46409
44,100,2204796.866612374,7895.62628287243,43882
45,097,741936.3143803119,4868.748883229055,45576
46,101,1521425.037090803,7516.68487079647,41115
47,102,1788838.8394960861,7986.732327335627,42422
48,095,2338627.938624964,7943.088691124065,46608
49,103,2446543.965659844,9270.432121814729,45835
50,194,4513315.787922832,10529.899590538897,20994
51,094,1501550.3762881677,6199.239476782592,43907
52,020,637563.1671917345,7766.2204526597625,11071
53,079,2091727.1628433694,7152.897796306201,32634
54,080,1485293.4031809154,7159.981473436556,32992
55,082,3877410.7075144444,13328.57356631445,33562
56,162,1240130.4783928206,6673.049999680104,22187
57,164,603783.3008979784,5011.662508708486,20128
58,083,6638326.7684494695,12665.153237119817,32804
59,158,2011592.2124579425,11468.23687347819,11239
60,084,3133219.42586171,9990.451570948764,32909
61,085,4379043.589059261,11795.587281631693,31683
62,086,6249693.373842504,13878.93116074458,30235
63,087,956260.6653125529,8565.386319293644,27681
64,156,2778123.3041509665,10203.62023870972,20003
65,088,2273286.3117153654,9659.249714194128,28809
66,090,1083704.935035015,6698.479441557066,28579
67,092,1040339.3657883529,6791.120466467558,30493
68,093,1411102.482582355,8208.6901784426,32865
69,159,3368374.355416168,8621.617774301127,4286
70,167,1135486.8677482586,5673.889862880595,22032
71,157,4574614.917018644,11942.861691162081,18458
72,166,1300046.5055747747,6843.002006158687,21845
73,165,1160915.2875278983,8306.189912525864,20411
74,163,759309.3747726677,4571.555319330956,20553
75,197,8472956.548178364,16161.872434188292,19897
76,067,899402.2674543166,6620.501890321592,44406
77,108,1530916.5148353335,7266.597285715509,39793
78,070,1733009.5135091897,10043.343821962664,47064
79,071,1532774.9081591922,7860.014314750659,46279
80,074,949371.9613892444,5277.04677726784,38326
81,077,574005.6893711955,4321.723950055048,45728
82,069,1048867.7478853154,8313.547239917914,39058
83,076,615561.8960996618,4507.592917400491,49921
84,064,1584468.2187358749,9313.681335788826,41694
85,075,952573.4674047756,4669.097124739115,46068
86,073,928399.1382854338,5633.9133968107535,46079
87,072,1318699.954497553,5836.946808398453,46466
88,147,2047274.5176071806,9485.073832308291,25984
89,148,882591.8367489298,5924.1228150941215,26546
90,149,1416400.0193260103,7259.958393795818,25763
91,150,3535567.6684441776,17182.59128119526,25011
92,151,1664063.1904472106,7122.067556967356,25093
93,155,1544985.245387322,6242.01018453606,26030
94,145,1512545.7205784097,5405.155466983449,25031
95,154,1171711.4318163272,5956.804953578663,25251
96,144,1387934.3144972115,7597.836000767059,25597
97,152,1604325.9991551754,7879.508678655885,25677
98,049,779999.555974165,4609.606708084636,42899
99,050,1536060.8273841313,5554.454520948487,44162
100,143,2596970.3045549234,7452.859803490037,25859
101,110,2053161.4943943745,7602.7180199902905,37110
102,052,1036735.5337716155,7894.807819975568,40381
103,054,593527.1256732709,3802.3647413498315,48560
104,055,573519.1779544521,4275.164608923462,49245
105,057,907816.7874152054,5054.104655534651,43555
106,058,2593975.0365781304,8173.093871282072,40351
107,059,2816285.7184088887,10637.069745644054,37207
108,060,5138688.926750774,11385.844496273156,41754
109,199,8074688.690161123,11880.530331430518,12323
112,051,403032.525313082,3773.3914796155505,40564
113,053,853510.5036992758,4538.253841945154,40922
114,193,2081865.938252086,8624.781369651415,16151
115,019,4116757.3729373543,9513.017897079353,27674
116,130,1202141.3145741401,5724.222951142635,43101
117,136,1193251.0922180593,5985.4683942631,49072
118,131,1045094.653806091,6929.105829658547,40653
119,129,1898497.209783801,7731.66898215196,46626
120,138,1264206.7306353208,5025.979288128858,48239
121,127,3857633.918577631,10676.527390829762,55837
122,133,1838112.0463152623,6248.964955799354,37338
