area_id,latitude,longitude,lst_celsius,ndvi,built_up_pct,green_cover_pct,population_density,vulnerable_pct,water_access_pct,cooling_access_pct,heat_risk,vegetation_risk,builtup_risk,vulnerability_risk,water_risk,cooling_risk,thermal_equity_risk_score,risk_category
A001,13.0827,80.2707,43.2,0.12,84,7,9500,38,55,35,0.8750000000000002,0.9090909090909091,0.8372093023255814,0.7666666666666667,0.6875,0.8113207547169812,82.7660440517505,High
A002,13.0878,80.2785,39.5,0.31,65,18,7200,25,70,55,0.36111111111111116,0.4772727272727273,0.3953488372093023,0.3333333333333333,0.375,0.4339622641509434,38.67894610873988,Moderate
A003,13.075,80.265,44.1,0.08,91,4,11000,45,40,25,1.0,1.0,1.0,1.0,1.0,1.0,100.0,High
A004,13.095,80.29,37.8,0.48,52,30,5800,18,82,72,0.12499999999999975,0.09090909090909094,0.09302325581395349,0.1,0.125,0.1132075471698113,10.891060672543771,Low
A005,13.068,80.25,41.7,0.18,76,11,8700,34,60,42,0.666666666666667,0.7727272727272727,0.6511627906976745,0.6333333333333333,0.5833333333333333,0.679245283018868,66.6508037815629,High
A006,13.09,80.275,40.8,0.22,72,14,8100,30,65,48,0.5416666666666663,0.6818181818181818,0.5581395348837209,0.5,0.47916666666666663,0.5660377358490566,55.30140977568576,Moderate
A007,13.07,80.26,42.5,0.15,80,9,9000,36,58,38,0.7777777777777777,0.8409090909090909,0.7441860465116279,0.7,0.625,0.7547169811320755,74.90693020596485,High
A008,13.1,80.3,36.9,0.52,48,34,5200,15,88,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
A009,13.06,80.245,43.7,0.1,88,5,10500,42,45,30,0.9444444444444446,0.9545454545454546,0.9302325581395349,0.9,0.8958333333333334,0.9056603773584906,92.61994063052641,High
A010,13.085,80.285,39.9,0.35,62,22,6800,22,75,60,0.4166666666666665,0.38636363636363646,0.32558139534883723,0.23333333333333334,0.27083333333333337,0.339622641509434,33.95040189078144,Moderate
