ward_index,population_2011
1,18400
2,18217
3,21882
4,21184
5,21225
6,22193
7,20796
8,19342
9,18650
10,20261
11,20842
12,21367
13,21772
14,19932
15,12119
16,8974
17,5155
18,13621
19,27674
20,11071
21,10556
22,16163
23,15502
24,15307
25,17494
26,13944
27,12396
28,17729
29,17474
30,17415
31,15843
32,15528
33,16658
34,47339
35,49905
36,53109
37,50905
38,43583
39,42577
40,39579
41,45011
42,46714
43,42330
44,52329
45,53989
46,51863
47,41478
48,36560
49,42899
50,44162
51,40564
52,40381
53,40922
54,48560
55,49245
56,39500
57,43555
58,40351
59,37207
60,41754
61,37988
62,36871
63,35478
64,41694
65,46979
66,35551
67,44406
68,39621
69,39058
70,47064
71,46279
72,46466
73,46079
74,38326
75,46068
76,49921
77,45728
78,34995
79,32634
80,32992
81,33541
82,33562
83,32804
84,32909
85,31683
86,30235
87,27681
88,28809
89,26694
90,28579
91,30724
92,30493
93,32865
94,43907
95,46608
96,45775
97,45576
98,46409
99,42305
100,43882
101,41115
102,42422
103,45835
104,40690
105,47338
106,46112
107,46298
108,39793
109,48143
110,37110
111,35188
112,40803
113,36329
114,40795
115,43927
116,40519
117,39100
118,35611
119,38755
120,38962
121,40027
122,39330
123,46542
124,43622
125,42047
126,43585
127,55837
128,61662
129,46626
130,43101
131,40653
132,37902
133,37338
134,34295
135,40405
136,49072
137,49358
138,48239
139,47609
140,49630
141,42142
142,50887
143,25859
144,25597
145,25031
146,27093
147,25984
148,26546
149,25763
150,25011
151,25093
152,25677
153,26762
154,25251
155,26030
156,20003
157,18458
158,11239
159,4286
160,18091
161,19183
162,22187
163,20553
164,20128
165,20411
166,21845
167,22032
168,44859
169,44214
170,44257
171,37737
172,48061
173,40631
174,36776
175,48959
176,44360
177,43792
178,39952
179,37765
180,41210
181,19027
182,21451
183,21902
184,27714
185,25301
186,25212
187,20885
188,23896
189,18551
190,19027
191,18795
192,23187
193,16151
194,20994
195,16350
196,40923
197,19897
198,20675
199,12323
200,26106
