ward,population_2011
169,44214
004,21184
062,36871
063,35478
178,39952
015,12119
016,8974
172,48061
177,43792
018,13621
176,44360
175,48959
180,41210
198,20675
192,23187
185,25301
189,18551
190,19027
066,35551
171,37737
183,21902
173,40631
182,21451
126,43585
125,42047
115,43927
116,40519
114,40795
124,43622
179,37765
123,46542
200,26106
112,40803
122,39330
121,40027
120,38962
119,38755
118,35611
106,46112
012,21367
107,46298
105,47338
104,40690
099,42305
098,46409
100,43882
097,45576
101,41115
102,42422
095,46608
103,45835
194,20994
094,43907
020,11071
079,32634
080,32992
082,33562
162,22187
164,20128
083,32804
158,11239
084,32909
085,31683
086,30235
087,27681
156,20003
088,28809
090,28579
092,30493
093,32865
159,4286
167,22032
157,18458
166,21845
165,20411
163,20553
197,19897
067,44406
108,39793
070,47064
071,46279
074,38326
077,45728
069,39058
076,49921
064,41694
075,46068
073,46079
072,46466
147,25984
148,26546
149,25763
150,25011
151,25093
155,26030
145,25031
154,25251
144,25597
152,25677
049,42899
050,44162
143,25859
110,37110
052,40381
054,48560
055,49245
057,43555
058,40351
059,37207
060,41754
199,12323
051,40564
053,40922
193,16151
019,27674
130,43101
136,49072
131,40653
129,46626
138,48239
127,55837
133,37338
141,42142
134,34295
041,45011
040,39579
037,50905
044,52329
048,36560
042,46714
174,36776
047,41478
045,53989
034,47339
035,49905
036,53109
010,20261
186,25212
011,20842
002,18217
003,21882
005,21225
007,20796
008,19342
009,18650
096,45775
014,19932
027,12396
028,17729
021,10556
078,34995
081,33541
146,27093
153,26762
089,26694
056,39500
029,17474
026,13944
128,61662
184,27714
033,16658
061,37988
024,15307
023,15502
132,37902
031,15843
137,49358
013,21772
046,51863
168,44859
030,17415
139,47609
181,19027
191,18795
142,50887
140,49630
135,40405
188,23896
187,20885
068,39621
065,46979
091,30724
006,22193
039,42577
161,19183
160,18091
043,42330
196,40923
022,16163
017,5155
195,16350
170,44257
113,36329
109,48143
117,39100
111,35188
038,43583
001,18400
025,17494
032,15528
